


MAPS/FORREST/rooms/spawn
Grass_FPS_2,1.000,683,683,distributed_batch,0.595,22,-0.209
Grass_1_FPS_2,1.000,669,669,distributed_batch,1.358,22,-0.473
bush,0.000,0,0,distributed_batch,31.098,22,-22.007
Davey,1.000,36,36,center,568.146,36,-18.875



MAPS/FORREST/rooms/chest
Grass_FPS_2,1.000,3143,3143,distributed_batch,0.612,93,-0.140
Grass_1_FPS_2,1.000,2857,2857,distributed_batch,7.778,93,-2.692
bush,0.000,0,0,distributed_batch,15.405,93,-4.522
Chest,1.000,168,168,center,369.919,168,-41.186
lantern,0.000,0,300,distributed,0.213,30,-0.010
plant,0.000,0,0,distributed_batch,9.791,65,-0.061
candle,0.000,0,350,distributed,0.206,35,-0.062



MAPS/FORREST/rooms/bar
Grass_FPS_2,1.000,477,477,distributed_batch,0.287,15,-0.040
Grass_1_FPS_2,1.000,436,436,distributed_batch,7.103,15,-0.466
bush,0.000,0,0,distributed_batch,14.350,15,0.916



BOUNDARY
Tree,1.000,235278,235278,distributed_batch,33.551,48,19.177
Tree_Dark,1.000,228354,228354,distributed_batch,34.471,48,18.744
Tree_Darker,1.000,220711,220711,distributed_batch,42.790,48,18.609
Big_Rock,1.000,6913,6913,distributed_batch,49.869,48,19.912



trail
Grass_FPS_2,1.000,14077,14077,distributed_batch,0.648,517,-0.045
Grass_1_FPS_2,1.000,13504,13504,distributed_batch,7.418,517,0.739
bush,0.000,0,0,distributed_batch,14.804,517,0.290
light,0.000,0,0,distributed_batch,535.968,507,-125.904
flower,1.000,2527,2527,distributed_batch,1070.181,254,-662.029



MAPS/FORREST/rooms/random
Bone_1,0.012,23,1995,random,0.867,74,-0.349
Skull_1,0.013,22,1755,random,0.805,70,-0.273
candle,1.000,84,84,center,76.856,84,7.205
Bone_Pile,0.008,24,3065,random,1.251,63,-0.890
lantern,1.000,100,100,center,615.650,100,2.839
Bone,0.009,21,2424,random,0.919,79,-0.520
SKull_pile,0.011,21,1965,random,0.769,82,-0.266
Grass_FPS_2,1.000,185,185,distributed_batch,0.458,21,-0.086
Grass_1_FPS_2,1.000,189,189,distributed_batch,8.105,21,-1.028
bush,0.000,0,0,distributed_batch,14.868,21,-0.483



MAPS/FORREST/rooms/Grave_Yard
candle,0.066,64,965,random,48.336,126,210.576
Skull_1,0.115,24,209,random,0.448,22,-0.277
Bone,0.106,20,189,random,0.408,23,-0.209
Bone_1,0.121,31,257,random,0.449,28,-0.271
Skull,0.574,27,47,random,0.282,18,0.171
Bone_Pile,0.068,6,88,random,0.397,12,-0.217
SKull_pile,0.081,12,148,random,0.365,23,-0.098
Grave_1,1.000,555,555,distributed_batch,10.118,12,-1.707
Grave_2,1.000,562,562,distributed_batch,16.891,12,-3.442
Grass_FPS_2,0.000,0,0,distributed_batch,0.600,12,-0.050
Grass_1_FPS_2,0.000,0,0,distributed_batch,7.370,12,-1.950
bush,0.000,0,0,distributed_batch,14.745,12,-3.165



spawn
Davey,1.000,4,4,center,508.565,4,-24.670
Grass_FPS_2,0.000,0,0,distributed_batch,0.461,4,0.051
Grass_1_FPS_2,0.000,0,0,distributed_batch,1.094,4,-0.048
bush,0.000,0,0,distributed_batch,10.776,4,-1.726



chest
Chest,1.000,12,12,center,346.896,12,-49.942
candle,0.000,0,70,distributed,0.185,7,0.075
plant,0.000,0,0,distributed_batch,9.136,12,-0.609
Grass_FPS_2,0.000,0,0,distributed_batch,0.442,12,-0.023
Grass_1_FPS_2,0.000,0,0,distributed_batch,7.410,12,-1.108
bush,0.000,0,0,distributed_batch,14.701,12,-1.009
lantern,0.000,0,50,distributed,0.188,5,0.067



Grave_Yard
candle,0.167,18,108,random,73.796,17,131.273
Bone,1.000,2,2,random,0.223,2,0.052
Bone_Pile,0.514,19,37,random,0.539,4,0.698
Grave_1,1.000,211,211,distributed_batch,8.990,4,0.096
Grave_2,1.000,215,215,distributed_batch,14.987,4,-0.946
Grass_FPS_2,0.000,0,0,distributed_batch,0.772,4,-0.029
Grass_1_FPS_2,0.000,0,0,distributed_batch,7.204,4,1.869
bush,0.000,0,0,distributed_batch,14.059,4,2.302
Bone_1,0.700,7,10,random,0.319,2,0.188
Skull,0.130,3,23,random,0.310,5,0.121
Skull_1,1.000,1,1,random,0.195,1,0.000
SKull_pile,0.122,6,49,random,0.579,3,-0.109



MAPS/FORREST/rooms
Davey,1.000,457,457,center,0.062,457,-0.011
candle,1.000,1,1,center,0.116,1,0.000
Chest,1.000,2,2,center,0.130,2,0.053
lantern,1.000,1,1,random,0.101,1,0.000
plant,0.000,0,0,distributed_batch,52.423,141,-38.728
Skull_1,0.909,10,11,random,0.374,3,0.055
Bone_Pile,1.000,1,1,center,0.053,1,0.000
Grave_1,1.000,46,46,distributed_batch,92.470,1,0.000
Grave_2,1.000,221,221,distributed_batch,93.137,5,-0.353
Bone_1,0.667,12,18,random,0.343,3,-0.231
SKull_pile,0.087,47,542,random,0.663,13,-0.243
Skull,0.962,870,904,random,0.249,284,-0.036
Bone,0.127,144,1132,random,0.627,28,-0.265
Book,0.638,420,658,random,0.161,144,-0.045
Fountain,1.000,2,2,center,1.507,2,-0.163
Bench,1.000,6,6,exact,2.235,6,0.911
flower,1.000,32,32,random,0.613,5,-0.123
Barrel,0.236,7719,32749,random,4.181,3489,-1.943
Booze_1,0.900,15171,16859,random,0.465,3353,-0.131
Mushroom_2,0.881,9605,10906,random,1.114,337,-0.686
Sign,1.000,74,74,center,0.077,74,0.030
Mushroom_1,0.798,637,798,random,0.174,197,-0.088
Booze_2,0.921,8705,9455,random,0.269,3436,-0.124
Key,1.000,16,16,center,0.073,16,-0.007
car,1.000,12,12,center,0.125,12,-0.022
flower_1,1.000,3,3,distributed_batch,16.367,1,0.000
Grass_FPS_2,1.000,1268960,1268960,distributed_batch,21.217,20849,-8.973
Grass_1_FPS_2,1.000,488,488,distributed_batch,18.279,8,-3.638
bush,0.000,0,0,distributed_batch,41.314,3483,-0.614
Book_Pile_1,0.497,3777,7596,random,1.134,423,-0.891
Book_Pile,0.489,3770,7706,random,0.830,446,0.027
brick,0.705,31,44,random,1.287,1,0.000
light,0.000,0,0,distributed_batch,17.535,3268,-3.209
Tree_Dark,0.000,0,10,random,0.016,1,0.000
Skull_Pile_1,0.030,7,230,random,3.528,1,0.000
Tree,0.973,357,367,random,2.190,3,2.466
Rock,0.643,709,1103,random,2.363,24,-0.856
Tree_Darker,0.943,166,176,random,1.011,3,1.748
Big_Rock,1.000,21048,21048,distributed_batch,63.924,9234,-2.473
Bush_1_FPS_2,1.000,24273,24273,distributed_batch,32.557,17330,-12.594
Mushroom_3,0.901,1984,2203,random,0.637,276,-0.474
Stump,0.046,23413,505898,random,19.704,2056,-18.568
Small_Rock,1.000,93344,93344,distributed_batch,44.268,19935,-21.844
Box,0.116,4133,35512,random,4.015,2031,-1.628
noose,0.816,933,1144,random,3.319,25,1.691
Book_1,0.437,1360,3110,random,0.347,255,-0.173
Bush_FPS_2,1.000,42860,42860,distributed_batch,39.933,17264,-14.205
Sigil_Of_Fortune,0.107,107,998,random,1.570,6,-0.756
Book_2,0.962,127,132,random,0.954,4,-1.165
Flame_FPS_12,0.002,3,1540,random,1.480,2,0.506
Big_Rock_Center,1.000,634,634,center,3.447,634,0.538
Mushroom,0.612,82,134,random,1.109,2,1.125
flowers,0.000,0,0,distributed_batch,8.829,5242,4.732
pretty,0.000,0,0,distributed_batch,51.412,20267,-22.666
table,0.085,2744,32143,random,4.360,1334,-1.843
flower_3,1.000,24,24,random,1.079,3,-1.409
fog,1.000,475332,475332,distributed_batch,58.669,18776,-24.241
flower_5,1.000,3,3,random,0.165,1,0.000
flower_4,0.941,16,17,random,1.068,1,0.000
flowr_6,1.000,81,81,random,0.665,10,-0.555



MAPS/FORREST/trails
light,0.000,0,0,distributed_batch,21.946,32880,-18.871
flower,1.000,91164,91164,distributed_batch,39.899,13432,-25.662
candle,0.000,0,0,distributed_batch,10.686,1,0.000
flower_1,1.000,73909,73909,distributed_batch,14.403,15850,0.400
Grass_FPS_2,1.000,1187621,1187621,distributed_batch,18.254,30745,-2.401
Grass_1_FPS_2,1.000,1583847,1583847,distributed_batch,25.280,30744,-3.875
bush,0.000,0,0,distributed_batch,42.640,4140,0.230
Bush_1_FPS_2,1.000,29604,29604,distributed_batch,32.248,26604,-6.516
Bush_FPS_2,1.000,46600,46600,distributed_batch,39.099,26604,-8.368
Small_Rock,1.000,96999,96999,distributed_batch,43.977,29505,-17.002
car,1.000,240,240,distributed_batch,54.595,1173,-20.413
pretty,0.000,0,0,distributed_batch,49.963,24207,-17.697
fog,1.000,423042,423042,distributed_batch,56.548,22776,-18.949
Big_Rock,1.000,24113,24113,distributed_batch,67.330,12717,12.582
Axe,1.000,199,199,distributed_batch,27.841,23,0.293
lantern,0.066,634,9622,random,0.789,405,-0.335
flowers,0.000,0,0,distributed_batch,5.718,3083,-1.121
